Brand,Product Name,Price,Rating,Number of Ratings,Link,Product Type,Product ID
Briogeo,Scalp Revival MegaStrength+ Dandruff Relief Shampoo Charcoal + AHA/BHA,$42.00 ,4.6,222,https://www.ulta.com/p/scalp-revival-megastrength-dandruff-relief-shampoo-charcoal-ahabha-pimprod2034489?sku=2600267,Shampoo,U32
Bondi Boost,Thickening Therapy Shampoo,$30.00 ,4.5,140,https://www.ulta.com/p/thickening-therapy-shampoo-pimprod2044294?sku=2621448,Shampoo,U33
Redken,Acidic Bonding Curls Silicone-Free Shampoo,$33.00 - $64.00 ,4.6,602,https://www.ulta.com/p/acidic-bonding-curls-silicone-free-shampoo-pimprod2045234?sku=2622377,Shampoo,U34
Virtue,Flourish Volumizing Keratin Shampoo for Thinning Hair,$44.00 ,4.7,454,https://www.ulta.com/p/flourish-volumizing-keratin-shampoo-thinning-hair-pimprod2029672?sku=2592070,Shampoo,U35
Living Proof,No Frizz Shampoo for Smoothing + Humidity Protection,$34.00 - $67.00 ,4.5,229,https://www.ulta.com/p/no-frizz-shampoo-smoothing-humidity-protection-pimprod2031848?sku=2593001,Shampoo,U36
Color Wow,Color Security Shampoo,$24.00 ,4.8,3711,https://www.ulta.com/p/color-security-shampoo-xlsImpprod5250095?sku=2259593,Shampoo,U37
Redken,Blondage High Bright Shampoo for Blondes and Highlights,$26.00 ,4.5,1068,https://www.ulta.com/p/blondage-high-bright-shampoo-blondes-highlights-pimprod2031800?sku=2594496,Shampoo,U38
Paul Mitchell,Awapuhi Wild Ginger Nourishing Shampoo,$28.50 - $63.50 ,4.6,392,https://www.ulta.com/p/awapuhi-wild-ginger-nourishing-shampoo-pimprod2041447?sku=2614261,Shampoo,U39
Living Proof,Restore Shampoo for Stronger + Softer Hair,$34.00 - $67.00 ,4.5,227,https://www.ulta.com/p/restore-shampoo-stronger-softer-hair-pimprod2031849?sku=2592977,Shampoo,U40
Sebastian,Dark Oil Lightweight Shampoo,$19.99 - $42.99 ,4.6,3337,https://www.ulta.com/p/dark-oil-lightweight-shampoo-pimprod2008150?sku=2550682,Shampoo,U41
Paul Mitchell,Shampoo Two Clarifying Cleanser,$17.50 ,4.6,424,https://www.ulta.com/p/shampoo-two-clarifying-cleanser-xlsImpprod10271160?sku=6021667,Shampoo,U42
Paul Mitchell,Original Shampoo One,$17.50 - $30.50 ,4.6,335,https://www.ulta.com/p/original-shampoo-one-xlsImpprod10271265?sku=6021122,Shampoo,U43
Odele,Clarifying Shampoo,$11.99 ,4.7,358,https://www.ulta.com/p/clarifying-shampoo-pimprod2037395?sku=2605205,Shampoo,U44
Kenra Professional,Triple Repair Shampoo Bonding for Damaged Hair,$26.00 - $52.00 ,4.6,895,https://www.ulta.com/p/triple-repair-shampoo-bonding-damaged-hair-pimprod2042815?sku=2614448,Shampoo,U45
Biolage,Scalp Sync Calming Shampoo,$24.00 - $42.00 ,4.7,267,https://www.ulta.com/p/scalp-sync-calming-shampoo-pimprod2044107?sku=2620864,Shampoo,U46
AG Care,Balance Apple Cider Vinegar Sulfate-Free Shampoo,$34.00 - $68.00 ,4.6,252,https://www.ulta.com/p/balance-apple-cider-vinegar-sulfate-free-shampoo-pimprod2034215?sku=2599994,Shampoo,U47
Kenra Professional,Volume Shampoo,$21.00 - $46.00 ,4.6,524,https://www.ulta.com/p/volume-shampoo-pimprod2044499?sku=2622430,Shampoo,U48
Batiste,Bare Dry Shampoo - Barely Scented,$12.49 - $20.99 ,4.5,5221,https://www.ulta.com/p/bare-dry-shampoo-barely-scented-pimprod2009893?sku=2303413,Shampoo,U49
Wella,Ultimate Repair Shampoo,$18.00 - $71.00 ,4.5,317,https://www.ulta.com/p/ultimate-repair-shampoo-pimprod2038482?sku=2608585,Shampoo,U50
Living Proof,Travel Size Perfect Hair Day (PhD) Advanced Clean Dry Shampoo,$18.00 ,4.7,1416,https://www.ulta.com/p/travel-size-perfect-hair-day-phd-advanced-clean-dry-shampoo-pimprod2027257?sku=2583169,Shampoo,U51
Batiste,Tropical Dry Shampoo - Coconut & Exotic,$12.49 - $20.99 ,4.5,5221,https://www.ulta.com/p/tropical-dry-shampoo-coconut-exotic-pimprod2009866?sku=2283681,Shampoo,U52
Joico,Weekend Hair Dry Shampoo,$22.00 ,4.6,273,https://www.ulta.com/p/weekend-hair-dry-shampoo-pimprod2008381?sku=2551484,Shampoo,U53
Biolage,Color Last Purple Shampoo,$24.00 - $42.00 ,4.5,1542,https://www.ulta.com/p/color-last-purple-shampoo-pimprod2005426?sku=2543696,Shampoo,U54
Philosophy,"Amazing Grace Shampoo, Shower Gel & Bubble Bath",$35.00 ,4.6,2661,https://www.ulta.com/p/amazing-grace-shampoo-shower-gel-bubble-bath-xlsImpprod1500106?sku=2153939,Shampoo,U55
Verb,Purple Shampoo,$20.00 - $44.00 ,4.8,518,https://www.ulta.com/p/purple-shampoo-pimprod2031779?sku=2594004,Shampoo,U56
Kenra Professional,Color Protecting Shampoo,$21.00 - $46.00 ,4.6,503,https://www.ulta.com/p/color-protecting-shampoo-pimprod2044501?sku=2622448,Shampoo,U57
Batiste,Dry Shampoo Overnight Deep Cleanse,$13.79 ,4.6,200,https://www.ulta.com/p/dry-shampoo-overnight-deep-cleanse-pimprod2031990?sku=2596530,Shampoo,U58
Bumble and bumble,Sunday Shampoo,$34.00 - $97.00 ,4.6,113,https://www.ulta.com/p/sunday-shampoo-xlsImpprod16451154?sku=2515554,Shampoo,U59
Philosophy,"3-in-1 Shampoo, Shower Gel, and Bubble Bath",$24.00 ,4.6,2634,https://www.ulta.com/p/3-in-1-shampoo-shower-gel-bubble-bath-pimprod2004454?sku=2209090,Shampoo,U60
Kenra Professional,Moisture Shampoo,$21.00 - $46.00 ,4.6,512,https://www.ulta.com/p/moisture-shampoo-pimprod2044532?sku=2622720,Shampoo,U61
Verb,Hydrating Shampoo,$20.00 - $44.00 ,4.5,432,https://www.ulta.com/p/hydrating-shampoo-pimprod2024767?sku=2580720,Shampoo,U62
Verb,Dry Shampoo Dark Tones,$20.00 ,4.5,416,https://www.ulta.com/p/dry-shampoo-dark-tones-pimprod2038387?sku=2607917,Shampoo,U63
Virtue,Volumizing Full Shampoo For Fine Or Flat Hair,$42.00 - $78.00 ,4.7,718,https://www.ulta.com/p/volumizing-full-shampoo-fine-flat-hair-pimprod2021472?sku=2595664,Shampoo,U64
SEEN,"Shampoo, Fragrance Free",$29.00 ,4.6,387,https://www.ulta.com/p/shampoo-fragrance-free-pimprod2024626?sku=2584266,Shampoo,U65
Sebastian,Penetraitt Shampoo,$19.99 - $42.99 ,4.6,192,https://www.ulta.com/p/penetraitt-shampoo-xlsImpprod4450509?sku=2162743,Shampoo,U66
Keranique,Volumizing Follicle Strengthening Shampoo,$24.00 ,4.5,1229,https://www.ulta.com/p/volumizing-follicle-strengthening-shampoo-pimprod2038672?sku=2608473,Shampoo,U67
Matrix,Color Obsessed Shampoo,$20.00 ,4.5,500,https://www.ulta.com/p/color-obsessed-shampoo-xlsImpprod6490206?sku=2296948,Shampoo,U68
Kenra Professional,Clarify Shampoo,$21.00 - $46.00 ,4.6,512,https://www.ulta.com/p/clarify-shampoo-pimprod2044536?sku=2622433,Shampoo,U69
L'anza,Healing ColorCare Color-Preserving Shampoo,$37.00 ,4.5,102,https://www.ulta.com/p/healing-colorcare-color-preserving-shampoo-xlsImpprod10112004?sku=2105590,Shampoo,U70
Matrix,A Curl Can Dream Shampoo,$20.00 - $40.00 ,4.5,192,https://www.ulta.com/p/a-curl-can-dream-shampoo-pimprod2026749?sku=2586590,Shampoo,U71
Verb,Dry Shampoo Light Tones,$20.00 ,4.7,340,https://www.ulta.com/p/dry-shampoo-light-tones-pimprod2038386?sku=2607915,Shampoo,U72
Nexxus,Keraphix Damage Healing Shampoo,$17.99 - $27.99 ,4.6,9315,https://www.ulta.com/p/keraphix-damage-healing-shampoo-xlsImpprod17871149?sku=2521676,Shampoo,U73
UNITE Hair,7SECONDS Shampoo,$33.50 ,4.9,204,https://www.ulta.com/p/7seconds-shampoo-pimprod2043569?sku=2622994,Shampoo,U74
Kitsch,Castor Oil Nourishing Hair Shampoo Bar,$14.00 ,4.6,1109,https://www.ulta.com/p/castor-oil-nourishing-hair-shampoo-bar-pimprod2029684?sku=2592296,Shampoo,U75
Biolage,Bond Therapy Sulfate-Free Shampoo,$28.00 - $48.00 ,4.6,948,https://www.ulta.com/p/bond-therapy-sulfate-free-shampoo-pimprod2041089?sku=2614275,Shampoo,U76
Batiste,Travel Size Dry Shampoo,$5.99 ,4.5,5221,https://www.ulta.com/p/travel-size-dry-shampoo-xlsImpprod5050253?sku=2288433,Shampoo,U77
Klorane,Oil-Control Dry Shampoo with Nettle,$24.00 ,4.5,216,https://www.ulta.com/p/oil-control-dry-shampoo-with-nettle-xlsImpprod14811083?sku=2552990,Shampoo,U78
Verb,Volume Shampoo,$20.00 - $44.00 ,4.6,167,https://www.ulta.com/p/volume-shampoo-pimprod2024777?sku=2580727,Shampoo,U79
Batiste,Hint of Color Dry Shampoo - Brilliant Blonde,$13.79 ,4.5,544,https://www.ulta.com/p/hint-of-color-dry-shampoo-brilliant-blonde-pimprod2009899?sku=2234687,Shampoo,U80
Odele,Volumizing Shampoo,$11.99 ,4.5,477,https://www.ulta.com/p/volumizing-shampoo-pimprod2037388?sku=2605201,Shampoo,U81
Better Not Younger,Wake Up Call Volumizing Shampoo,$29.00 - $45.00 ,4.6,1620,https://www.ulta.com/p/wake-up-call-volumizing-shampoo-pimprod2026761?sku=2585499,Shampoo,U82
Bondi Boost,Rapid Repair Shampoo for Damaged Hair,$24.00 - $30.00 ,4.6,1529,https://www.ulta.com/p/rapid-repair-shampoo-damaged-hair-pimprod2014461?sku=2564052,Shampoo,U83
Paul Mitchell,Super Strong Shampoo,$16.00 - $32.50 ,4.5,177,https://www.ulta.com/p/super-strong-shampoo-xlsImpprod10271329?sku=2112390,Shampoo,U84
L'Oréal,EverPure Sulfate Free Clarifying Shampoo with Antioxidants,$9.99 ,4.5,444,https://www.ulta.com/p/everpure-sulfate-free-clarifying-shampoo-with-antioxidants-pimprod2042392?sku=2617200,Shampoo,U85
Alterna,Caviar Anti-Aging Multiplying Volume Shampoo,$36.00 - $55.00 ,4.5,137,https://www.ulta.com/p/caviar-anti-aging-multiplying-volume-shampoo-pimprod2000186?sku=2534316,Shampoo,U86
PATTERN,Cleansing Shampoo,$21.00 ,4.7,459,https://www.ulta.com/p/cleansing-shampoo-pimprod2016691?sku=2565545,Shampoo,U87
Paul Mitchell,Shampoo Three Chlorine Removing Cleanser,$15.50 ,4.5,263,https://www.ulta.com/p/shampoo-three-chlorine-removing-cleanser-xlsImpprod10271158?sku=2149032,Shampoo,U88
Kitsch,Tea Tree & Mint Clarifying Hair Shampoo Bar,$14.00 ,4.6,637,https://www.ulta.com/p/tea-tree-mint-clarifying-hair-shampoo-bar-pimprod2029686?sku=2592298,Shampoo,U89
