Product ID,Picture URL,Description,Health Facts,Benefits,Features
U653,https://media.ulta.com/i/ulta/2271941?w=78&h=78&fmt=auto,"BioSilk Silk Therapy Original is the original weightless, leave-in silk replenishing and reconstructing treatment to repair, smooth and protect all hair types.",,"Ideal for all hair types, Fills voids in cuticle to create smooth hair, Leave in replenishing & reconstructing treatment, Aids in preventing split ends, provides incredible shine",
U660,https://media.ulta.com/i/ulta/2271940?w=78&h=78&fmt=auto,"BioSilk Silk Therapy is the original weightless, leave-in silk replenishing and reconstructing treatment to repair, smooth and protect all hair types. Now in travel size.",,"Ideal for all hair types, Fills voids in cuticle to create smooth hair, Leave in replenishing & reconstructing treatment, Aids in preventing split ends, provides incredible shine",
