Product Name,Brand,Price,Rating,Number of Ratings,Link,Product Type,Product ID
CURLSMITH Essential Moisture Cleanser - 12 fl oz - Ulta Beauty,CURLSMITH,$26.00,4.5,244,https://www.target.com/p/curlsmith-essential-moisture-cleanser-12-fl-oz-ulta-beauty/-/A-87886557#lnk=sametab,Shampoo,T23
Carol's Daughter Coco Crème Curl Quenching Shampoo with Coconut Oil for Very Dry Hair -12 floz,Carol's Daughter,$12.59,4.6,251,https://www.target.com/p/carol-39-s-daughter-coco-cr-232-me-curl-quenching-shampoo-with-coconut-oil-for-very-dry-hair-12-floz/-/A-75564816#lnk=sametab,Shampoo,T24
Eva NYC Lazy Jane Air Dry Shampoo - 8.8 fl oz,Eva NYC,$12.99,4.6,434,https://www.target.com/p/eva-nyc-lazy-jane-air-dry-shampoo-8-8-fl-oz/-/A-84720914#lnk=sametab,Shampoo,T25
"SheaMoisture Grapeseed Oil & Tea Tree Oils, Low Porosity Weightless Hydrating Shampoo, 13 fl oz (384 ml)",SheaMoisture,$13.68,4.5,109,https://www.target.com/p/sheamoisture-grapeseed-oil-tea-tree-oils-low-porosity-weightless-hydrating-shampoo-13-fl-oz-384-ml/-/A-90980965#lnk=sametab,Shampoo,T26
Hask Tea Tree & Rosemary Oil Scalp Care Shampoo - 12 fl oz,Hask,$5.29,4.5,1063,https://www.target.com/p/hask-tea-tree-38-rosemary-oil-scalp-care-shampoo-12-fl-oz/-/A-76563928#lnk=sametab,Shampoo,T27
"Odele Purple Shampoo for Blonde, Silver + Gray Hair - 13 fl oz",Odele,$11.99,4.5,195,https://www.target.com/p/odele-purple-shampoo-for-blonde-silver-gray-hair-13-fl-oz/-/A-86919464#lnk=sametab,Shampoo,T28
Aussie Miracle Moist Shampoo,Aussie,$3.99 - $7.99,4.5,3016,https://www.target.com/p/aussie-miracle-moist-shampoo/-/A-81855579?preselect=75570641#lnk=sametab,Shampoo,T29
SheaMoisture Manuka Honey & Yogurt Hydrate & Repair Shampoo - 13 fl oz,SheaMoisture,$10.99,4.5,1202,https://www.target.com/p/sheamoisture-manuka-honey-38-yogurt-hydrate-38-repair-shampoo-13-fl-oz/-/A-80143005#lnk=sametab,Shampoo,T30
SheaMoisture Manuka Honey & Mafura Oil Intensive Hydration Shampoo - 13 fl oz,SheaMoisture,$10.99,4.5,1179,https://www.target.com/p/sheamoisture-manuka-honey-mafura-oil-intensive-hydration-shampoo-13-fl-oz/-/A-15651081?preselect=15651081#lnk=sametab,Shampoo,T31
Dove Beauty Daily Moisture Shampoo,Dove Beauty,$3.99 - $7.49,4.7,2776,https://www.target.com/p/dove-beauty-daily-moisture-shampoo/-/A-89513000?preselect=12200301#lnk=sametab,Shampoo,T32
SheaMoisture Bond Repair Shampoo - 13 fl oz,SheaMoisture,$13.99,4.7,826,https://www.target.com/p/sheamoisture-bond-repair-shampoo-13-fl-oz/-/A-89291683#lnk=sametab,Shampoo,T33
SheaMoisture Aloe Butter Scalp Moisturizing Shampoo - 13 fl oz,SheaMoisture,$13.69,4.5,867,https://www.target.com/p/sheamoisture-aloe-butter-scalp-moisturizing-shampoo-13-fl-oz/-/A-86984640#lnk=sametab,Shampoo,T34
"Nizoral Anti Dandruff Shampoo with 1% Ketoconazole, Clean Fresh Scent",Nizoral,$15.89 - $27.99,4.6,4885,https://www.target.com/p/nizoral-anti-dandruff-shampoo-with-1-ketoconazole-clean-fresh-scent/-/A-89030677?preselect=86736337#lnk=sametab,Shampoo,T35
Herbal Essences Smooth Shampoo with Rose Hips & Jojoba Extracts,Herbal Essences,$6.99 - $9.99,4.6,1154,https://www.target.com/p/herbal-essences-smooth-shampoo-with-rose-hips-jojoba-extracts/-/A-89429934?preselect=76559233#lnk=sametab,Shampoo,T36
Aussie Miracle Moist Shampoo,Aussie,$3.99 - $7.99,4.5,3016,https://www.target.com/p/aussie-miracle-moist-shampoo/-/A-81855579?preselect=75570655#lnk=sametab,Shampoo,T37
Pantene Pro-V Daily Moisture Renewal Shampoo,Pantene,$4.99 - $7.49,4.7,964,https://www.target.com/p/pantene-pro-v-daily-moisture-renewal-shampoo/-/A-86503401?preselect=83206653#lnk=sametab,Shampoo,T38
Suave Refreshing Shampoo Ocean Breeze - 22.5 fl oz,Suave,$1.99,4.5,263,https://www.target.com/p/suave-refreshing-shampoo-ocean-breeze-22-5-fl-oz/-/A-86382548#lnk=sametab,Shampoo,T39
L'Oreal Paris Elvive Total Repair 5 Repairing Shampoo - 28 fl oz,L'Oreal Paris,$8.99,4.6,627,https://www.target.com/p/l-39-oreal-paris-elvive-total-repair-5-repairing-shampoo-28-fl-oz/-/A-52379211#lnk=sametab,Shampoo,T40
Nexxus Therappe Ultimate Moisture Silicone Free Shampoo,Nexxus,$5.29 - $25.99,4.6,2972,https://www.target.com/p/nexxus-therappe-ultimate-moisture-silicone-free-shampoo/-/A-89483052?preselect=50213407#lnk=sametab,Shampoo,T41
Pantene Pro-V Classic Clean Shampoo,Pantene,$4.99 - $7.49,4.6,371,https://www.target.com/p/pantene-pro-v-classic-clean-shampoo/-/A-86503408?preselect=83206661#lnk=sametab,Shampoo,T42
Suave Cleansing Shampoo Daily Clarifying - 22.5 fl oz,Suave,$1.99,4.6,425,https://www.target.com/p/suave-cleansing-shampoo-daily-clarifying-22-5-fl-oz/-/A-86382544#lnk=sametab,Shampoo,T43
OGX Thick Full Biotin Collagen Salon Size Shampoo,OGX,$6.99 - $12.29,4.5,2983,https://www.target.com/p/ogx-thick-full-biotin-collagen-salon-size-shampoo/-/A-81804216?preselect=14462805#lnk=sametab,Shampoo,T44
Dove Beauty Intensive Repair Shampoo - 25.4 fl oz,Dove Beauty,$7.49,4.7,820,https://www.target.com/p/dove-beauty-intensive-repair-shampoo-25-4-fl-oz/-/A-12200299#lnk=sametab,Shampoo,T45
Dove Beauty Dermacare Anti-Dandruff Shampoo - 12 fl oz,Dove Beauty,$4.89,4.5,1208,https://www.target.com/p/dove-beauty-dermacare-anti-dandruff-shampoo-12-fl-oz/-/A-51139367#lnk=sametab,Shampoo,T46
"Head & Shoulders Bare Anti Dandruff Soothing Hydration Shampoo, Sulfate Free - 13.5 fl oz",Head & Shoulders,$9.99,4.7,2599,https://www.target.com/p/head-38-shoulders-bare-anti-dandruff-soothing-hydration-shampoo-sulfate-free-13-5-fl-oz/-/A-89170346#lnk=sametab,Shampoo,T47
Suave Invigorating Pump Shampoo Rosemary & Mint - 28 fl oz,Suave,$4.99,4.5,452,https://www.target.com/p/suave-invigorating-pump-shampoo-rosemary-38-mint-28-fl-oz/-/A-13970682#lnk=sametab,Shampoo,T48
Native Sea Salt & Cedar Full & Thick 2-in-1 16.5oz,Native,$9.99,4.5,473,https://www.target.com/p/native-sea-salt-38-cedar-full-38-thick-2-in-1-16-5oz/-/A-83384729#lnk=sametab,Shampoo,T49
Suave Nourishing Shampoo Tropical Coconut - 22.5 fl oz,Suave,$1.99,4.5,290,https://www.target.com/p/suave-nourishing-shampoo-tropical-coconut-22-5-fl-oz/-/A-86382547#lnk=sametab,Shampoo,T50
Head & Shoulders Supreme Nourish & Smooth Hair & Scalp Sulfate Free Anti-Dandruff Shampoo for Relief from Dry Scalp - 11.8 fl oz,Head & Shoulders,$10.49,4.7,10615,https://www.target.com/p/head-38-shoulders-supreme-nourish-38-smooth-hair-38-scalp-sulfate-free-anti-dandruff-shampoo-for-relief-from-dry-scalp-11-8-fl-oz/-/A-83206664#lnk=sametab,Shampoo,T51
Selsun Blue Moisturizing Dandruff Shampoo - 11 fl oz,Selsun Blue,$7.89,4.5,588,https://www.target.com/p/selsun-blue-moisturizing-dandruff-shampoo-11-fl-oz/-/A-11148355#lnk=sametab,Shampoo,T52
"Kristin Ess Deep Clean Clarifying Shampoo for Build Up, Dirt + Oil, Cleanse + Detox Oily Hair - 10 fl oz",Kristin Ess,$11.99,4.5,3020,https://www.target.com/p/kristin-ess-deep-clean-clarifying-shampoo-for-build-up-dirt-oil-cleanse-detox-oily-hair-10-fl-oz/-/A-76577773#lnk=sametab,Shampoo,T53
Nexxus Keraphix Shampoo For Damaged Hair,Nexxus,$15.99 - $25.99,4.6,8721,https://www.target.com/p/nexxus-keraphix-shampoo-for-damaged-hair/-/A-89483084?preselect=52504967#lnk=sametab,Shampoo,T54
Method Daily Zen Daily Shampoo Sulfate & Silicone Free - 14 fl oz,Method,$10.99,4.5,2285,https://www.target.com/p/method-daily-zen-daily-shampoo-sulfate-38-silicone-free-14-fl-oz/-/A-89272433#lnk=sametab,Shampoo,T55
Native Citrus & Herbal Musk Daily Shampoo 16.5oz,Native,$9.99,4.5,420,https://www.target.com/p/native-citrus-38-herbal-musk-daily-shampoo-16-5oz/-/A-83384721#lnk=sametab,Shampoo,T56
"Pantene Illuminating Sulfate Free Biotin Shampoo for Nourishing Color Safe, Nutrient Blends - 9.6 fl oz",Pantene,$8.99,4.5,416,https://www.target.com/p/pantene-illuminating-sulfate-free-biotin-shampoo-for-nourishing-color-safe-nutrient-blends-9-6-fl-oz/-/A-79754981#lnk=sametab,Shampoo,T57
"Native Travel Size Vegan Cucumber & Mint Natural Volume Shampoo, Clean, Sulfate, Paraben and Silicone Free - 3 fl oz",Native,$3.49,4.5,383,https://www.target.com/p/native-travel-size-vegan-cucumber-38-mint-natural-volume-shampoo-clean-sulfate-paraben-and-silicone-free-3-fl-oz/-/A-83044768#lnk=sametab,Shampoo,T58
Pantene Pro-V Daily Moisture Renewal 2-in-1 Shampoo & Conditioner - 23.6 fl oz,Pantene,$7.49,4.7,423,https://www.target.com/p/pantene-pro-v-daily-moisture-renewal-2-in-1-shampoo-38-conditioner-23-6-fl-oz/-/A-83206610#lnk=sametab,Shampoo,T59
Head & Shoulders Green Apple Anti Dandruff Shampoo for Dry & Itchy Scalp,Head & Shoulders,$5.99 - $11.49,4.7,586,https://www.target.com/p/head-shoulders-green-apple-anti-dandruff-shampoo-for-dry-itchy-scalp/-/A-88412831?preselect=52481702#lnk=sametab,Shampoo,T60
Aussie Paraben-Free Total Miracle Shampoo with Apricot & Macadamia For Damage Hair - 30.4 fl oz,Aussie,$7.99,4.5,1075,https://www.target.com/p/aussie-paraben-free-total-miracle-shampoo-with-apricot-macadamia-for-damage-hair-30-4-fl-oz/-/A-51111300#lnk=sametab,Shampoo,T61
Dove Beauty Cucumber & Moisture Shampoo - 25.4 fl oz,Dove Beauty,$7.49,4.5,1313,https://www.target.com/p/dove-beauty-cucumber-38-moisture-shampoo-25-4-fl-oz/-/A-12200296#lnk=sametab,Shampoo,T62
Dove Beauty Coconut & Hydration Shampoo for Dry Hair,Dove Beauty,$7.49,4.5,1143,https://www.target.com/p/dove-beauty-coconut-hydration-shampoo-for-dry-hair/-/A-89429695?preselect=46773901#lnk=sametab,Shampoo,T63
Garnier Fructis Hair Fillers Strength Repair Shampoo for Damaged Hair - 10.1 fl oz,Garnier,$8.99,4.5,439,https://www.target.com/p/garnier-fructis-hair-fillers-strength-repair-shampoo-for-damaged-hair-10-1-fl-oz/-/A-89220342#lnk=sametab,Shampoo,T64
"Head & Shoulders Bare Anti Dandruff Pure Clean Shampoo, Sulfate Free - 13.5 fl oz",Head & Shoulders,$9.99,4.7,2042,https://www.target.com/p/head-38-shoulders-bare-anti-dandruff-pure-clean-shampoo-sulfate-free-13-5-fl-oz/-/A-89170349#lnk=sametab,Shampoo,T65
Pantene Pro-V Miracles Infinite Lengths Biotin + Collagen Shampoo Sulfate Free - 13.5 fl oz,Pantene,$9.99,4.5,152,https://www.target.com/p/pantene-pro-v-miracles-infinite-lengths-biotin-collagen-shampoo-sulfate-free-13-5-fl-oz/-/A-89170363#lnk=sametab,Shampoo,T66
Nexxus Amino Bond Repair Shampoo with Five Amino Acids and Keratin Protein - 13.5oz,Nexxus,$15.99,4.6,518,https://www.target.com/p/nexxus-amino-bond-repair-shampoo-with-five-amino-acids-and-keratin-protein-13-5oz/-/A-89163669#lnk=sametab,Shampoo,T67
Herbal Essences Hydrating Shampoo with Coconut Water & Jasmine,Herbal Essences,$6.99 - $9.99,4.5,283,https://www.target.com/p/herbal-essences-hydrating-shampoo-with-coconut-water-jasmine/-/A-89429910?preselect=80120265#lnk=sametab,Shampoo,T68
"Head & Shoulders 2-in-1 Dandruff Shampoo and Conditioner, Anti-Dandruff Treatment, Deep Scalp Hydration for Daily Use, Paraben Free - 12.5 fl oz",Head & Shoulders,$6.29,4.7,555,https://www.target.com/p/head-38-shoulders-2-in-1-dandruff-shampoo-and-conditioner-anti-dandruff-treatment-deep-scalp-hydration-for-daily-use-paraben-free-12-5-fl-oz/-/A-86675566#lnk=sametab,Shampoo,T69
Herbal Essences Shine Shampoo with Chamomile Aloe Vera & Passion Flower Extracts,Herbal Essences,$6.99 - $9.99,4.6,418,https://www.target.com/p/herbal-essences-shine-shampoo-with-chamomile-aloe-vera-passion-flower-extracts/-/A-89429932?preselect=76559236#lnk=sametab,Shampoo,T70
Neutrogena Tea & Sal Therapeutic Shampoo - 4.5oz,Neutrogena,$7.39,4.5,443,https://www.target.com/p/neutrogena-tea-38-sal-therapeutic-shampoo-4-5oz/-/A-89198869#lnk=sametab,Shampoo,T71
Herbal Essences Travel Size Smooth Shampoo with Rose Hips & Jojoba Extracts - 3.38 fl oz,Herbal Essences,$1.99,4.5,897,https://www.target.com/p/herbal-essences-travel-size-smooth-shampoo-with-rose-hips-38-jojoba-extracts-3-38-fl-oz/-/A-80189409#lnk=sametab,Shampoo,T72
Suave Silk Protein Infusion Sleek and Smooth Shampoo - 28 fl oz,Suave,$5.29,4.6,236,https://www.target.com/p/suave-silk-protein-infusion-sleek-and-smooth-shampoo-28-fl-oz/-/A-83228549#lnk=sametab,Shampoo,T73
Bumble and Bumble Women's Thick Volume Shampoo - 8.5 fl oz - Ulta Beauty,Bumble and Bumble,$37.00,4.5,301,https://www.target.com/p/bumble-and-bumble-women-39-s-thick-volume-shampoo-8-5-fl-oz-ulta-beauty/-/A-90303646#lnk=sametab,Shampoo,T74
Dove Beauty Dermacare Scalp Soothing Anti-Dandruff Shampoo - 12 fl oz,Dove Beauty,$4.89,4.5,415,https://www.target.com/p/dove-beauty-dermacare-scalp-soothing-anti-dandruff-shampoo-12-fl-oz/-/A-52504206#lnk=sametab,Shampoo,T75
Garnier Whole Blends Coconut Oil & Cocoa Butter Extracts Smoothing Shampoo,Garnier,$8.99,4.7,5214,https://www.target.com/p/garnier-whole-blends-coconut-oil-cocoa-butter-extracts-smoothing-shampoo/-/A-87355029?preselect=83170227#lnk=sametab,Shampoo,T76
Head & Shoulders 2-in-1 Anti Dandruff Shampoo & Conditioner with Tea Tree Oil for Dry Scalp,Head & Shoulders,$5.99 - $11.49,4.7,1062,https://www.target.com/p/head-shoulders-2-in-1-anti-dandruff-shampoo-conditioner-with-tea-tree-oil-for-dry-scalp/-/A-88412832?preselect=76556234#lnk=sametab,Shampoo,T77
Head & Shoulders Dry Scalp Care Dandruff Shampoo with Almond Oil,Head & Shoulders,$5.99 - $11.49,4.5,1105,https://www.target.com/p/head-shoulders-dry-scalp-care-dandruff-shampoo-with-almond-oil/-/A-46764057?preselect=13974353#lnk=sametab,Shampoo,T78
Head & Shoulders Smooth Silky Paraben Free Dandruff Shampoo,Head & Shoulders,$5.99 - $8.99,4.5,1185,https://www.target.com/p/head-shoulders-smooth-silky-paraben-free-dandruff-shampoo/-/A-81855530?preselect=52642698#lnk=sametab,Shampoo,T79
"Head & Shoulders Dandruff Shampoo, Anti-Dandruff Treatment, Itchy Scalp Care for Daily Use, Paraben-Free - 20.7 fl oz",Head & Shoulders,$8.99,4.7,490,https://www.target.com/p/head-38-shoulders-dandruff-shampoo-anti-dandruff-treatment-itchy-scalp-care-for-daily-use-paraben-free-20-7-fl-oz/-/A-80120245#lnk=sametab,Shampoo,T80
Pantene Pro-V Smooth & Sleek Shampoo,Pantene,$4.99 - $7.49,4.6,312,https://www.target.com/p/pantene-pro-v-smooth-sleek-shampoo/-/A-86503426?preselect=83206614#lnk=sametab,Shampoo,T81
Pantene Pro-V Repair & Protect Shampoo,Pantene,$4.99 - $7.49,4.7,346,https://www.target.com/p/pantene-pro-v-repair-protect-shampoo/-/A-86503424?preselect=83206643#lnk=sametab,Shampoo,T82
"Kristin Ess Softening Sulfate Free Shampoo - Moisturizing, Vegan and Color Safe - 10 fl oz",Kristin Ess,$11.99,4.6,505,https://www.target.com/p/kristin-ess-ultra-rich-softening-shampoo-10-fl-oz/-/A-89199284#lnk=sametab,Shampoo,T83
Aussie Miracle Repairer Shampoo with Aloe - 30.4 fl oz,Aussie,$7.99,4.8,161,https://www.target.com/p/aussie-miracle-repairer-shampoo-with-aloe-30-4-fl-oz/-/A-89170387#lnk=sametab,Shampoo,T84
Head & Shoulders Supreme Sulfate Free Color Protect Anti-Dandruff Shampoo for Relief from Itchy & Dry Scalp - 11.8 fl oz,Head & Shoulders,$10.49,4.6,282,https://www.target.com/p/head-38-shoulders-supreme-sulfate-free-color-protect-anti-dandruff-shampoo-for-relief-from-itchy-38-dry-scalp-11-8-fl-oz/-/A-83206633#lnk=sametab,Shampoo,T85
Mane 'N Tail and Body Original Shampoo - 32 fl oz,Mane 'N Tail,$9.49,4.6,336,https://www.target.com/p/mane-39-n-tail-and-body-original-shampoo-32-fl-oz/-/A-80369061#lnk=sametab,Shampoo,T86
"Herbal Essences Argan Oil Repairing Shampoo, Color-Safe, For Damaged Hair - 13.5 fl oz",Herbal Essences,$9.99,4.5,1967,https://www.target.com/p/herbal-essences-argan-oil-repairing-shampoo-color-safe-for-damaged-hair-13-5-fl-oz/-/A-51110959#lnk=sametab,Shampoo,T87
Carol's Daughter Goddess Strength Fortifying Sulfate Free Shampoo with Castor Oil for Breakage Prone Hair,Carol's Daughter,$3.99 - $12.99,4.6,767,https://www.target.com/p/carol-s-daughter-goddess-strength-fortifying-sulfate-free-shampoo-with-castor-oil-for-breakage-prone-hair/-/A-90541069?preselect=89537725#lnk=sametab,Shampoo,T88
L'Oreal Paris EverPure Clarify Shampoo for Build Up - 6.8 fl oz,L'Oreal Paris,$8.99,4.5,403,https://www.target.com/p/l-39-oreal-paris-everpure-clarify-shampoo-for-build-up-6-8-fl-oz/-/A-89170432#lnk=sametab,Shampoo,T89
"John Frieda Violet Crush for Blondes Shampoo for Blonde Hair, Knock Out Brassy Tones Purple - 8.3 fl oz",John Frieda,$10.99,4.5,2786,https://www.target.com/p/john-frieda-violet-crush-for-blondes-shampoo-for-blonde-hair-knock-out-brassy-tones-purple-8-3-fl-oz/-/A-76150407#lnk=sametab,Shampoo,T90
"John Frieda Radiant Red Red Boosting Shampoo for Red Hair, Hair Color Protectant for Shades - Red - 8.3 fl oz",John Frieda,$10.99,4.6,612,https://www.target.com/p/john-frieda-radiant-red-red-boosting-shampoo-for-red-hair-hair-color-protectant-for-shades-red-8-3-fl-oz/-/A-52524317#lnk=sametab,Shampoo,T91
L'Oreal Paris EverPure Sulfate-Free pH Balanced Glossing Shampoo - 8.5 fl oz,L'Oreal Paris,$9.49,4.5,1118,https://www.target.com/p/l-39-oreal-paris-everpure-sulfate-free-ph-balanced-glossing-shampoo-8-5-fl-oz/-/A-83276902#lnk=sametab,Shampoo,T92
VERB Hydrating Shampoo - 12 fl oz - Ulta Beauty,VERB,$20.00,4.6,818,https://www.target.com/p/verb-hydrating-shampoo-12-fl-oz-ulta-beauty/-/A-87909742#lnk=sametab,Shampoo,T93
"Head & Shoulders Anti-Dandruff Treatment, Classic Clean for Daily Use, Paraben-Free 2-in-1 Shampoo and Conditioner - 28.2 fl oz",Head & Shoulders,$11.49,4.8,1003,https://www.target.com/p/head-38-shoulders-anti-dandruff-treatment-classic-clean-for-daily-use-paraben-free-2-in-1-shampoo-and-conditioner-28-2-fl-oz/-/A-49111312#lnk=sametab,Shampoo,T94
Bumble and bumble Bond-Building Repair Shampoo - 8.5 fl oz - Ulta Beauty,Bumble and Bumble,$37.00,4.6,523,https://www.target.com/p/bumble-and-bumble-bond-building-repair-shampoo-8-5-fl-oz-ulta-beauty/-/A-82572550#lnk=sametab,Shampoo,T95
"Pantene Nutrient Blends Silicone Free Bamboo Shampoo, Volume Multiplier for Fine Thin Hair - 9.6 fl oz",Pantene,$8.99,4.6,399,https://www.target.com/p/pantene-nutrient-blends-silicone-free-bamboo-shampoo-volume-multiplier-for-fine-thin-hair-9-6-fl-oz/-/A-76556190#lnk=sametab,Shampoo,T96
L'Oreal Paris EverCreme Sulfate Free Deep Nourish Shampoo - 8.5 fl oz,L'Oreal Paris,$8.99,4.5,1604,https://www.target.com/p/l-oreal-paris-evercreme-sulfate-free-deep-nourish-shampoo-8-5-fl-oz/-/A-13748189#lnk=sametab,Shampoo,T97
Briogeo Hair Care Scalp Revival MegaStrength+ Dandruff Relief Charcoal Shampoo - 8.4 fl oz - Ulta Beauty,Briogeo Hair Care,$42.00,4.6,450,https://www.target.com/p/briogeo-hair-care-scalp-revival-megastrength-dandruff-relief-charcoal-shampoo-8-4-fl-oz-ulta-beauty/-/A-86281272#lnk=sametab,Shampoo,T98
Bumble and Bumble Hairdresser's Invisible Oil Shampoo - Ulta Beauty,Bumble and Bumble,$16.00 - $37.00,4.5,815,https://www.target.com/p/bumble-and-bumble-hairdresser-s-invisible-oil-shampoo-ulta-beauty/-/A-90979114?preselect=82572577#lnk=sametab,Shampoo,T99
Living Clarifying Women's Detox Shampoo - 8.0 fl oz - Ulta Beauty,Living Proof,$36.00,4.8,719,https://www.target.com/p/living-clarifying-women-39-s-detox-shampoo-8-0-fl-oz-ulta-beauty/-/A-90305366#lnk=sametab,Shampoo,T100
California Naturals Daily Shampoo – 12 fl oz,California Naturals,$8.99,4.5,293,https://www.target.com/p/california-naturals-daily-shampoo-8211-12-fl-oz/-/A-88542289#lnk=sametab,Shampoo,T101
Bumble and Bumble. Sunday Shampoo - 8.5 fl oz - Ulta Beauty,Bumble and Bumble,$35.00,4.6,124,https://www.target.com/p/bumble-and-bumble-sunday-shampoo-8-5-fl-oz-ulta-beauty/-/A-82572544#lnk=sametab,Shampoo,T102
